timestamp,buyer,seller,symbol,currency,price,quantity
100,SUBMISSION,,PANEL_2X2,XIREC,9980,2
100,SUBMISSION,,PEBBLES_XL,XIREC,9966,2
100,SUBMISSION,,ROBOT_DISHES,XIREC,9983,2
300,SUBMISSION,,MICROCHIP_CIRCLE,XIREC,9974,2
300,SUBMISSION,,TRANSLATOR_ASTRO_BLACK,XIREC,9979,2
400,SUBMISSION,,PEBBLES_L,XIREC,9975,2
400,,SUBMISSION,PEBBLES_M,XIREC,10050,2
400,SUBMISSION,,PEBBLES_S,XIREC,9991,2
400,SUBMISSION,,SLEEP_POD_LAMB_WOOL,XIREC,9967,2
400,,SUBMISSION,SLEEP_POD_POLYESTER,XIREC,10012,2
400,,SUBMISSION,TRANSLATOR_VOID_BLUE,XIREC,10015,2
500,,SUBMISSION,GALAXY_SOUNDS_SOLAR_FLAMES,XIREC,10021,2
500,SUBMISSION,,PANEL_1X4,XIREC,9987,2
500,SUBMISSION,,PANEL_2X4,XIREC,9987,2
500,SUBMISSION,,PEBBLES_S,XIREC,9963,2
500,SUBMISSION,,SLEEP_POD_LAMB_WOOL,XIREC,9957,2
500,,SUBMISSION,SLEEP_POD_POLYESTER,XIREC,10034,2
500,,SUBMISSION,TRANSLATOR_VOID_BLUE,XIREC,10032,2
500,,SUBMISSION,UV_VISOR_ORANGE,XIREC,10037,2
600,,SUBMISSION,GALAXY_SOUNDS_SOLAR_FLAMES,XIREC,10027,2
600,,SUBMISSION,PANEL_1X2,XIREC,10029,2
600,SUBMISSION,,PANEL_1X4,XIREC,9974,2
600,,SUBMISSION,PANEL_4X4,XIREC,10021,2
600,SUBMISSION,,ROBOT_DISHES,XIREC,9974,2
600,SUBMISSION,,TRANSLATOR_ECLIPSE_CHARCOAL,XIREC,9985,2
600,,SUBMISSION,TRANSLATOR_VOID_BLUE,XIREC,10039,2
600,SUBMISSION,,UV_VISOR_RED,XIREC,9990,2
700,,SUBMISSION,PANEL_1X2,XIREC,10038,2
700,SUBMISSION,,PANEL_1X4,XIREC,9969,2
700,,SUBMISSION,PEBBLES_XS,XIREC,10064,2
700,SUBMISSION,,ROBOT_DISHES,XIREC,9970,2
700,,SUBMISSION,ROBOT_MOPPING,XIREC,10017,2
700,SUBMISSION,,TRANSLATOR_ECLIPSE_CHARCOAL,XIREC,9976,2
700,,SUBMISSION,UV_VISOR_AMBER,XIREC,10029,2
800,SUBMISSION,,GALAXY_SOUNDS_BLACK_HOLES,XIREC,9988,2
800,,SUBMISSION,GALAXY_SOUNDS_SOLAR_WINDS,XIREC,10030,2
800,SUBMISSION,,PANEL_1X4,XIREC,9957,2
800,SUBMISSION,,PANEL_2X2,XIREC,9962,2
